Chr,Start,End,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Ensembl,gene
chr5,67268160,67268659,Intergenic,Intergenic,-71610,NM_005582,4064,ENSG00000134061,CD180
chr5,56078846,56079345,Intergenic,Intergenic,83928,NR_102755,441072,ENSG00000227908,FLJ31104
chr5,72179255,72179754,promoter-TSS (NM_001324255),promoter-TSS (NM_001324255),-283,NM_001324255,4131,ENSG00000131711,MAP1B
chr5,160418806,160419305,promoter-TSS (NM_001364521),promoter-TSS (NM_001364521),26,NM_001364518,10569,ENSG00000164609,SLU7
chr5,65925448,65925947,promoter-TSS (NM_001253698),promoter-TSS (NM_001253698),-857,NM_001006600,55914,ENSG00000112851,ERBIN
chr5,127004688,127005187,"intron (NM_178450, intron 1 of 4)","intron (NM_178450, intron 1 of 4)",25621,NM_178450,115123,ENSG00000173926,2023-03-03 00:00:00
chr5,81851696,81852195,Intergenic,Intergenic,-100692,NM_001256734,23635,ENSG00000145687,SSBP2
chr5,142716970,142717469,Intergenic,Intergenic,-19149,NM_001257205,2246,ENSG00000113578,FGF1
chr5,65035470,65035969,Intergenic,CpG,266789,NM_001364478,10283,ENSG00000153015,CWC27
chr5,93532291,93532790,"intron (NR_109825, intron 5 of 8)","intron (NR_109825, intron 5 of 8)",38803,NR_109825,441094,ENSG00000237187,NR2F1-AS1
chr5,65563009,65563508,promoter-TSS (NM_001278927),promoter-TSS (NM_001278927),19,NM_001278929,23398,ENSG00000113593,PPWD1
chr5,38845742,38846241,promoter-TSS (NM_001323504),promoter-TSS (NM_001323504),-8,NM_001323504,9180,ENSG00000145623,OSMR
chr5,126490149,126490648,"non-coding (NR_146197, exon 13 of 14)","non-coding (NR_146197, exon 13 of 14)",25248,NM_001146322,65983,ENSG00000155324,GRAMD2B
chr6,156687077,156687576,Intergenic,CpG,-90529,NM_001346813,57492,ENSG00000049618,ARID1B
chr6,144284839,144285338,Intergenic,CpG,-6649,NM_007124,7402,ENSG00000152818,UTRN
chr6,39812804,39813303,"intron (NM_015345, intron 1 of 24)","intron (NM_015345, intron 1 of 24)",20056,NM_015345,23500,ENSG00000146122,DAAM2
chr6,52310926,52311425,Intergenic,L3|LINE|CR1,-26433,NM_001366371,4172,ENSG00000112118,MCM3
chr6,10270944,10271443,Intergenic,Intergenic,-133309,NR_145448,109729173,ENSG00000285278,TFAP2A-AS2
chr6,2558913,2559412,Intergenic,Intergenic,-75338,NR_149119,105374885,,LINC02521
chr6,19231905,19232404,Intergenic,Intergenic,-51674,NR_110860,101928519,,LOC101928519
chr6,41545936,41546435,promoter-TSS (NR_126417),promoter-TSS (NR_126417),58,NR_126417,101060264,ENSG00000234753,FOXP4-AS1
chr6,105453926,105454425,Intergenic,Intergenic,-51093,NM_002726,5550,ENSG00000085377,PREP
chr6,162856851,162857350,"intron (NM_001080379, intron 2 of 4)","intron (NM_001080379, intron 2 of 4)",129130,NM_001080379,135138,ENSG00000112530,PACRG
chr6,11251574,11252073,"intron (NM_001142393, intron 2 of 7)","intron (NM_001142393, intron 2 of 7)",-19141,NM_001271033,4739,ENSG00000111859,NEDD9
chr6,169240028,169240527,TTS (NR_134621),TTS (NR_134621),13837,NM_003247,7058,ENSG00000186340,THBS2
chr6,44479960,44480459,Intergenic,Intergenic,44568,NR_039785,100616352,ENSG00000266619,MIR4642
chr6,149831229,149831728,"intron (NM_032832, intron 5 of 6)","intron (NM_032832, intron 5 of 6)",-32020,NR_045126,100652739,ENSG00000223701,RAET1E-AS1
chr6,2921669,2922168,Intergenic,LOR1-int|LTR|ERV1,-18609,NM_004155,5272,ENSG00000170542,SERPINB9
chr6,122779288,122779787,promoter-TSS (NM_001319039),promoter-TSS (NM_001319039),62,NM_001319039,2173,ENSG00000164434,FABP7
chr6,15399984,15400483,"intron (NM_004973, intron 2 of 17)","intron (NM_004973, intron 2 of 17)",151378,NM_001267040,3720,ENSG00000008083,JARID2
chr6,147651149,147651648,Intergenic,MLT1A0|LTR|ERVL-MaLR,142708,NM_001030060,389432,ENSG00000203727,SAMD5
chr6,150116109,150116608,Intergenic,Intergenic,-26686,NM_030949,81706,ENSG00000198729,PPP1R14C
chr6,122833107,122833606,Intergenic,Intergenic,44098,NM_006714,10924,ENSG00000172594,SMPDL3A
chr6,111806842,111807341,"intron (NM_153047, intron 2 of 13)","intron (NM_153047, intron 2 of 13)",-47174,NM_001370529,2534,ENSG00000010810,FYN
chr6,163780906,163781405,Intergenic,Intergenic,-109671,NR_134620,102724152,,LOC102724152
chr6,136250154,136250653,promoter-TSS (NM_138419),promoter-TSS (NM_138419),-92,NM_138419,113115,ENSG00000146410,MTFR2
chr6,68911767,68912266,"intron (NM_001704, intron 3 of 31)","intron (NM_001704, intron 3 of 31)",276734,NM_001704,577,ENSG00000135298,ADGRB3
chr6,110179760,110180259,promoter-TSS (NM_015891),promoter-TSS (NM_015891),-5,NM_001024934,8936,ENSG00000112290,WASF1
chr6,111730764,111731263,"intron (NM_153047, intron 3 of 13)","intron (NM_153047, intron 3 of 13)",28118,NM_153048,2534,ENSG00000010810,FYN
chr6,3247512,3248011,Intergenic,Intergenic,-11186,NM_001128591,389362,ENSG00000180822,PSMG4
chr6,150537420,150537919,Intergenic,Intergenic,-62216,NR_138138,57480,ENSG00000120278,PLEKHG1
chr6,112254796,112255295,promoter-TSS (NM_001105207),promoter-TSS (NM_001105207),-330,NM_001105209,3910,ENSG00000112769,LAMA4
chr6,154510456,154510955,promoter-TSS (NM_173515),promoter-TSS (NM_173515),-20,NM_001368117,154043,ENSG00000153721,CNKSR3
chr6,34412034,34412533,"intron (NM_001202470, intron 5 of 8)",CR1_Mam|LINE|CR1,13786,NM_001014,6204,ENSG00000124614,RPS10
chr6,52361987,52362486,promoter-TSS (NM_133367),promoter-TSS (NM_133367),85,NM_133367,85315,ENSG00000170915,PAQR8
chr6,40164329,40164828,Intergenic,Intergenic,191428,NR_038887,401260,,LINC00951
chr6,10316243,10316742,Intergenic,Intergenic,-88010,NR_145448,109729173,ENSG00000285278,TFAP2A-AS2
chr6,31958842,31959341,promoter-TSS (NM_006929).6,promoter-TSS (NM_006929).6,-84,NM_006929,6499,ENSG00000204351,SKIV2L
chr6,33317774,33318273,promoter-TSS (NM_001145338),promoter-TSS (NM_001145338),-81,NM_001145338,9278,ENSG00000236104,ZBTB22
chr6,42045620,42046119,"intron (NM_001287434, intron 1 of 4)","intron (NM_001287434, intron 1 of 4)",3025,NM_001136017,896,ENSG00000112576,CCND3
chr6,90218399,90218898,"intron (NM_001170794, intron 1 of 6)","intron (NM_001170794, intron 1 of 6)",78195,NM_021813,60468,ENSG00000112182,BACH2
chr6,113632267,113632766,"intron (NR_125844, intron 1 of 2)","intron (NR_125844, intron 1 of 2)",17559,NR_125844,101927686,ENSG00000230943,LINC02541
chr6,28080759,28081258,"5' UTR (NM_003447, exon 1 of 4)","5' UTR (NM_003447, exon 1 of 4)",440,NM_003447,7718,ENSG00000197279,ZNF165
chr7,98569564,98570063,Intergenic,Intergenic,-47472,NM_002523,4885,ENSG00000106236,NPTX2
chr7,128454342,128454841,Intergenic,Intergenic,-1239,NM_001098786,29923,ENSG00000135245,HILPDA
chr7,47266296,47266795,Intergenic,Intergenic,198258,NR_145813,109623468,,SNORD151
chr7,2558913,2559412,"5' UTR (NM_001287502, exon 1 of 19)","5' UTR (NM_001287502, exon 1 of 19)",183,NM_001287500,23288,ENSG00000106012,IQCE
chr7,108002982,108003481,promoter-TSS (NM_002291),promoter-TSS (NM_002291),-70,NM_002291,3912,ENSG00000091136,LAMB1
chr7,2354533,2355032,promoter-TSS (NM_001362791),promoter-TSS (NM_001362791),-45,NM_003751,8662,ENSG00000106263,EIF3B
chr7,71480738,71481237,"intron (NM_022479, intron 5 of 10)","intron (NM_022479, intron 5 of 10)",-173217,NR_037477,100500836,ENSG00000265878,MIR3914-1
chr7,99475994,99476493,"intron (NM_001350999, intron 1 of 3)","intron (NM_001350999, intron 1 of 3)",3351,NM_001350999,285989,ENSG00000198556,ZNF789
chr7,77122209,77122708,promoter-TSS (NM_020879),promoter-TSS (NM_020879),-157,NM_020879,57639,ENSG00000135205,CCDC146
chr7,66995399,66995898,promoter-TSS (NM_016038),promoter-TSS (NM_016038),-62,NM_016038,51119,ENSG00000126524,SBDS
chr7,70738213,70738712,"intron (NM_015570, intron 6 of 18)","intron (NM_015570, intron 6 of 18)",-393682,NM_022479,64409,ENSG00000185274,GALNT17
chr7,125561479,125561978,Intergenic,L1M7|LINE|L1,-297437,NR_110183,101928254,ENSG00000219445,LOC101928254
chr7,95434727,95435226,promoter-TSS (NM_001018161),promoter-TSS (NM_001018161),52,NM_000305,5445,ENSG00000105854,PON2
chr7,36785243,36785742,Intergenic,Intergenic,-60943,NM_001177507,313,ENSG00000136250,AOAH
chr7,25862307,25862806,Intergenic,Intergenic,-72437,NR_157808,646588,ENSG00000223561,LOC646588
chr7,106009466,106009965,"intron (NM_152750, intron 8 of 18)",CpG,46451,NM_152750,222256,ENSG00000128536,CDHR3
chr7,68223862,68224361,Intergenic,Intergenic,203858,NR_120514,102723427,ENSG00000225209,LOC102723427
chr7,54759057,54759556,promoter-TSS (NR_110040),promoter-TSS (NR_110040),-7,NR_110040,100996654,,LOC100996654
chr7,22854001,22854500,promoter-TSS (NR_146320),promoter-TSS (NR_146320),10,NR_146320,109729180,,SNHG26
chr7,99504661,99505160,promoter-TSS (NM_014569),promoter-TSS (NM_014569),-80,NM_014569,23660,ENSG00000196652,ZKSCAN5
chr7,99142218,99142717,"intron (NM_020429, intron 1 of 18)","intron (NM_020429, intron 1 of 18)",1641,NM_020429,57154,ENSG00000198742,SMURF1
chr7,137717935,137718434,"intron (NM_001321708, intron 1 of 32)","intron (NM_001321708, intron 1 of 32)",128148,NM_001321709,9162,ENSG00000157680,DGKI
chr7,4973786,4974285,promoter-TSS (NR_015449),promoter-TSS (NR_015449),50,NR_023385,441191,ENSG00000196204,RNF216P1
chr7,159015343,159015842,"intron (NR_024394, intron 1 of 4)","intron (NR_024394, intron 1 of 4)",7238,NR_024394,154822,ENSG00000231419,LINC00689
chr7,56064040,56064539,promoter-TSS (NM_001130069),promoter-TSS (NM_001130069),3,NM_001366648,25870,ENSG00000129103,SUMF2
chr7,90403647,90404146,"intron (NM_012129, intron 1 of 2)","intron (NM_012129, intron 1 of 2)",435,NM_012129,9069,ENSG00000157224,CLDN12
chr7,96297860,96298359,"intron (NM_001160210, intron 1 of 17)","intron (NM_001160210, intron 1 of 17)",23989,NR_027662,10165,ENSG00000004864,SLC25A13
chr7,4931945,4932444,"intron (NR_072989, intron 1 of 8)","intron (NR_072989, intron 1 of 8)",26993,NM_001100600,221938,ENSG00000136297,MMD2
chr7,71286447,71286946,"intron (NM_022479, intron 1 of 10)",MIRc|SINE|MIR,-20978,NR_037479,100500920,ENSG00000283278,MIR3914-2
chr7,36036988,36037487,Intergenic,Intergenic,-58073,NR_108089,101928618,ENSG00000261184,LOC101928618
chr8,47735101,47735600,"exon (NM_001282916, exon 19 of 19)","exon (NM_001282916, exon 19 of 19)",2814,NM_005195,1052,ENSG00000221869,CEBPD
chr8,144528680,144529179,TTS (NM_001308207),TTS (NM_001308207),182,NM_001001795,414919,ENSG00000213563,C8orf82
chr8,25392794,25393293,"intron (NM_024940, intron 44 of 51)","intron (NM_024940, intron 44 of 51)",31218,NM_001083111,2796,ENSG00000147437,GNRH1
chr8,20011794,20012293,Intergenic,Intergenic,72790,NM_000237,4023,ENSG00000175445,LPL
chr8,27702466,27702965,promoter-TSS (NR_037418),promoter-TSS (NR_037418),-948,NR_037418,100500871,ENSG00000265075,MIR3622B
chr8,19408880,19409379,"intron (NM_001130518, intron 8 of 9)","intron (NM_001130518, intron 8 of 9)",95153,NM_001363111,63898,ENSG00000104611,SH2D4A
chr8,60678325,60678824,promoter-TSS (NM_017780),promoter-TSS (NM_017780),-166,NM_017780,55636,ENSG00000171316,CHD7
chr8,85055854,85056353,Intergenic,Intergenic,-51135,NM_001349639,85444,ENSG00000133739,LRRCC1
chr8,133242944,133243443,"intron (NM_001135242, intron 14 of 15)","intron (NM_001135242, intron 14 of 15)",52154,NM_001204870,8840,ENSG00000104415,CCN4
chr8,29314496,29314995,Intergenic,Intergenic,34060,NM_057158,1846,ENSG00000120875,DUSP4
chr8,62139542,62140041,Intergenic,L2|LINE|L2,-109063,NM_001304533,286183,ENSG00000185942,NKAIN3
chr8,122788886,122789385,"intron (NM_001362797, intron 1 of 4)","intron (NM_001362797, intron 1 of 4)",7480,NM_014943,22882,ENSG00000178764,ZHX2
chr8,79826448,79826947,"intron (NR_110954, intron 2 of 5)","intron (NR_110954, intron 2 of 5)",45040,NR_110954,101927040,ENSG00000249328,LOC101927040
chr8,81234243,81234742,Intergenic,Intergenic,-46044,NM_001444,2171,ENSG00000164687,FABP5
chr8,18978726,18979225,"intron (NM_015310, intron 1 of 15)",MIR3|SINE|MIR,34728,NM_015310,23362,ENSG00000156011,PSD3
chr8,98166692,98167191,Intergenic,Intergenic,49101,NM_015029,10940,ENSG00000104356,POP1
chr8,26611256,26611755,"intron (NM_001244604, intron 3 of 13)","intron (NM_001244604, intron 3 of 13)",33100,NM_001244604,1808,ENSG00000092964,DPYSL2
chr8,102729497,102729996,Intergenic,Intergenic,73498,NR_160672,101927245,,LOC101927245
chr8,42541615,42542114,promoter-TSS (NM_001257181),promoter-TSS (NM_001257181),90,NM_006749,6575,ENSG00000168575,SLC20A2
chr8,143430622,143431121,promoter-TSS (NM_201589),promoter-TSS (NM_201589),-139,NM_201589,389692,ENSG00000182759,MAFA
chr8,79891417,79891916,Intergenic,CpG,-19929,NR_110954,101927040,ENSG00000249328,LOC101927040
chr8,130651030,130651529,Intergenic,Intergenic,-207605,NM_001362926,50807,ENSG00000153317,ASAP1
chr8,94262041,94262540,promoter-TSS (NM_181702),promoter-TSS (NM_181702),29,NM_005261,2669,ENSG00000164949,GEM
chr8,37079655,37080154,Intergenic,Intergenic,295530,NR_134267,157855,ENSG00000215262,KCNU1
chr8,19901705,19902204,Intergenic,Intergenic,-37299,NM_000237,4023,ENSG00000175445,LPL
chr8,128176834,128177333,Intergenic,Intergenic,26967,NR_031613,100302281,ENSG00000221261,MIR1208
chr8,406621,407120,promoter-TSS (NM_012173),promoter-TSS (NM_012173),62,NM_012173,26260,ENSG00000147364,FBXO25
chr8,133449347,133449846,Intergenic,Intergenic,122291,NM_003033,6482,ENSG00000008513,ST3GAL1
chr8,121454607,121455106,Intergenic,Intergenic,-184490,NR_002835,594842,,HAS2-AS1
chr8,98045364,98045863,promoter-TSS (NM_000989),promoter-TSS (NM_000989),-68,NM_000989,6156,ENSG00000156482,RPL30
chr8,133285603,133286102,"intron (NM_006096, intron 1 of 15)","intron (NM_006096, intron 1 of 15)",11400,NM_001258432,10397,ENSG00000104419,NDRG1
chr8,135925818,135926317,Intergenic,Intergenic,468611,NM_006558,10656,ENSG00000131773,KHDRBS3
chr8,143597311,143597810,promoter-TSS (NM_001195203).2,promoter-TSS (NM_001195203).2,115,NM_001130055,1936,ENSG00000104529,EEF1D
chr8,50783042,50783541,"intron (NR_135797, intron 20 of 20)",L1PA3|LINE|L1,619160,NM_001321778,54212,ENSG00000147481,SNTG1
chr8,40054869,40055368,Intergenic,Intergenic,-98364,NM_020130,56892,ENSG00000176907,TCIM
chr8,80029921,80030420,promoter-TSS (NM_014018),promoter-TSS (NM_014018),89,NM_014018,28957,ENSG00000147586,MRPS28
chr8,17801069,17801568,promoter-TSS (NR_156437),promoter-TSS (NR_156437),-94,NM_001363062,57509,ENSG00000129422,MTUS1
chr8,89857823,89858322,Intergenic,Intergenic,-43796,NM_004337,734,ENSG00000164823,OSGIN2
chr9,42900111,42900610,Intergenic,Intergenic,111960,NR_131213,105500239,,XLOC_007697
chr9,113614805,113615304,Intergenic,Intergenic,20925,NM_001276262,5998,ENSG00000138835,RGS3
chr9,33391057,33391556,"intron (NM_001318156, intron 2 of 6)",MER102a|DNA|hAT-Charlie,11262,NM_001170,364,ENSG00000165269,AQP7
chr9,137618509,137619008,promoter-TSS (NM_024757),promoter-TSS (NM_024757),137,NR_122035,85026,ENSG00000203993,ARRDC1-AS1
chr9,34345824,34346323,Intergenic,Intergenic,16504,NM_147173,318,ENSG00000164978,NUDT2
chr9,91192891,91193390,Intergenic,Intergenic,74078,NR_135306,100129347,ENSG00000229694,LINC00484
chr9,70635724,70636223,"intron (NM_001366143, intron 11 of 25)","intron (NM_001366143, intron 11 of 25)",174111,NR_029621,406987,ENSG00000207935,MIR204
chr9,117737668,117738167,Intergenic,Intergenic,33514,NM_138557,7099,ENSG00000136869,TLR4
chr9,130834614,130835113,promoter-TSS (NM_005157),promoter-TSS (NM_005157),-391,NM_005157,25,ENSG00000097007,ABL1
chr9,78281242,78281741,Intergenic,Intergenic,-15634,NM_021154,29968,ENSG00000135069,PSAT1
chr9,106576002,106576501,Intergenic,Intergenic,-24677,NR_107048,102465995,ENSG00000277889,MIR8081
chr9,12972551,12973050,promoter-TSS (NR_132976),promoter-TSS (NR_132976),-167,NR_132976,106635615,,SNORD137
chr9,78130002,78130501,Intergenic,Intergenic,-98440,NM_002072,2776,ENSG00000156052,GNAQ
chr9,94374244,94374743,promoter-TSS (NM_032558),promoter-TSS (NM_032558),-76,NM_032558,84641,ENSG00000148110,MFSD14B
chr9,133160906,133161405,"intron (NM_001288572, intron 3 of 6)","intron (NM_001288572, intron 3 of 6)",2759,NM_001282629,26301,ENSG00000148288,GBGT1
chr9,563807,564306,"intron (NM_001256877, intron 2 of 12)",AluY|SINE|Alu,59501,NM_001354332,23189,ENSG00000107104,KANK1
chr9,135115775,135116274,"intron (NM_001282611, intron 5 of 5)","intron (NM_001282611, intron 5 of 5)",28356,NM_001282611,10439,ENSG00000130558,OLFM1
chr9,130651030,130651529,Intergenic,Intergenic,-13315,NM_021619,59335,ENSG00000130711,PRDM12
chr9,96654637,96655136,"intron (NM_153698, intron 1 of 5)",CpG-28553,431,NM_153698,195827,ENSG00000158122,PRXL2C
chr9,136886140,136886639,promoter-TSS (NM_021138),promoter-TSS (NM_021138),-127,NM_021138,7186,ENSG00000127191,TRAF2
chr9,111000148,111000647,"intron (NM_001351397, intron 1 of 4)","intron (NM_001351397, intron 1 of 4)",36383,NM_001351420,1902,ENSG00000198121,LPAR1
chr9,104968335,104968834,Intergenic,CpG,-40429,NM_005502,19,ENSG00000165029,ABCA1
chr9,83366667,83367166,"intron (NM_001244960, intron 3 of 13)",AluSz6|SINE|Alu,-34955,NM_001244961,257019,ENSG00000172159,FRMD3
chr9,113609708,113610207,Intergenic,Intergenic,15828,NM_001276262,5998,ENSG00000138835,RGS3
chr9,95065149,95065648,promoter-TSS (NR_106729),promoter-TSS (NR_106729),48,NR_106729,102466518,ENSG00000274115,MIR6081
chr9,128094253,128094752,"intron (NM_001006642, intron 1 of 9)","intron (NM_001006642, intron 1 of 9)",3038,NM_001265614,114789,ENSG00000148339,SLC25A25
chr9,83432180,83432679,"intron (NM_174938, intron 1 of 13)","intron (NM_174938, intron 1 of 13)",35313,NM_001244960,257019,ENSG00000172159,FRMD3
chr9,106921053,106921552,"intron (NM_001347997, intron 1 of 12)","intron (NM_001347997, intron 1 of 12)",58136,NM_021224,58499,ENSG00000148143,ZNF462
chr9,14315119,14315618,promoter-TSS (NR_161382),promoter-TSS (NR_161382),-414,NR_161382,4781,ENSG00000147862,NFIB
chr9,115649905,115650404,Intergenic,Intergenic,94085,NR_109805,101928775,ENSG00000228714,LOC101928775
chr9,92506231,92506730,"intron (NM_001197296, intron 6 of 9)","intron (NM_001197296, intron 6 of 9)",21578,NR_039817,100616351,ENSG00000264158,MIR4670
chr9,129413542,129414041,Intergenic,CpG,-74869,NR_038955,100506190,,LINC00963
chr9,95733851,95734350,Intergenic,Intergenic,-141591,NM_020207,375748,ENSG00000182150,ERCC6L2
chrX,73851010,73851509,"non-coding (NR_001564, exon 1 of 6)","non-coding (NR_001564, exon 1 of 6)",1494,NR_001564,7503,ENSG00000229807,XIST
chrX,131741364,131741863,"intron (NR_026975, intron 10 of 12)","intron (NR_026975, intron 10 of 12)",89030,NR_152876,286467,ENSG00000213468,FIRRE
chrX,131792335,131792834,"intron (NR_026975, intron 5 of 12)","intron (NR_026975, intron 5 of 12)",38059,NR_152876,286467,ENSG00000213468,FIRRE
chrX,131729219,131729718,"intron (NR_026975, intron 10 of 12)","intron (NR_026975, intron 10 of 12)",101175,NR_152876,286467,ENSG00000213468,FIRRE
chrX,131746488,131747477,"intron (NR_026975, intron 10 of 12)","intron (NR_026975, intron 10 of 12)",83661,NR_152876,286467,ENSG00000213468,FIRRE
chrX,26822088,26822587,Intergenic,L1M2|LINE|L1,264000,NR_001559,139538,ENSG00000259849,VENTXP1
chrX,80573345,80573844,Intergenic,Intergenic,153147,NM_152630,169966,ENSG00000174016,TENT5D
chrX,129427152,129427651,Intergenic,L1MA4A|LINE|L1,96089,NM_003069,6594,ENSG00000102038,SMARCA1
chrX,35358951,35359450,Intergenic,L1PA12|LINE|L1,416404,NM_152631,170062,ENSG00000189132,FAM47B
chrX,20117022,20117521,promoter-TSS (NM_001168467),promoter-TSS (NM_001168467),-364,NM_001168466,256714,ENSG00000184368,MAP7D2
chrX,117695147,117695646,Intergenic,L1MA1|LINE|L1,278342,NM_033495,90293,ENSG00000003096,KLHL13
chrX,147981322,147981821,"exon (NM_152578, exon 1 of 6)","exon (NM_152578, exon 1 of 6)",234,NM_152578,158521,ENSG00000176988,FMR1NB
chrX,121415880,121416379,Intergenic,L1MA4A|LINE|L1,45157,NR_037444,100500869,ENSG00000265456,MIR3672
chrX,41298187,41298686,Intergenic,LTR16A1|LTR|ERVL,22697,NR_135616,105373185,ENSG00000223714,LINC02601
chrX,40121329,40121828,"intron (NM_001123384, intron 1 of 13)",L2a|LINE|L2,-23620,NM_017745,54880,ENSG00000183337,BCOR
chrX,130404332,130404831,"intron (NM_016024, intron 3 of 5)","intron (NM_016024, intron 3 of 5)",2594,NM_016024,51634,ENSG00000134597,RBMX2
chrX,131752870,131753369,"intron (NR_026975, intron 9 of 12)","intron (NR_026975, intron 9 of 12)",77524,NR_152876,286467,ENSG00000213468,FIRRE
chrX,67408618,67409117,Intergenic,LTR12C|LTR|ERV1,-135154,NM_000044,367,ENSG00000169083,AR
chrX,50003011,50003510,promoter-TSS (NR_029708),promoter-TSS (NR_029708),112,NR_030241,693124,ENSG00000207758,MIR532
chrX,149649880,149650379,Intergenic,Intergenic,-18217,NM_001174092,84548,ENSG00000269556,TMEM185A
chrX,149762952,149763451,Intergenic,Intergenic,-10867,NM_016153,100506164,ENSG00000171116,HSFX1
chrX,126890677,126891176,Intergenic,MSTA-int|LTR|ERVL-MaLR,71197,NM_001122716,100130613,ENSG00000183631,PRR32
chrX,137316936,137317435,Intergenic,Intergenic,-248942,NM_003413,7547,ENSG00000156925,ZIC3
chrX,25369309,25369808,Intergenic,L1M2|LINE|L1,-353593,NM_139058,170302,ENSG00000004848,ARX
chrX,129615634,129616133,Intergenic,Intergenic,39073,NM_017413,8862,ENSG00000171388,APLN
chrX,149634987,149635486,Intergenic,Intergenic,-3324,NM_001174092,84548,ENSG00000269556,TMEM185A
chrX,33505560,33506059,Intergenic,THE1D-int|LTR|ERVL-MaLR,-166421,NM_000109,1756,ENSG00000198947,DMD
chrX,79194894,79195393,Intergenic,L1MA2|LINE|L1,24171,NM_032553,84636,ENSG00000147138,GPR174
chrX,64189950,64190449,"exon (NM_152424, exon 2 of 2)","exon (NM_152424, exon 2 of 2)",15509,NM_152424,139285,ENSG00000184675,AMER1
chrX,76796605,76797104,"intron (NR_110405, intron 1 of 2)",HERVL18-int|LTR|ERVL,122506,NR_029909,494333,ENSG00000283242,MIR384
chrX,151423792,151424291,Intergenic,Intergenic,26856,NM_001017980,203547,ENSG00000160131,VMA21
chrX,30308424,30308923,"exon (NM_000475, exon 1 of 2)","exon (NM_000475, exon 1 of 2)",717,NM_000475,190,ENSG00000169297,NR0B1
chrX,140451721,140452601,Intergenic,L2c|LINE|L2,52899,NM_005634,6658,ENSG00000134595,SOX3
chrX,134076067,134076566,Intergenic,Intergenic,-90670,NM_004484,2719,ENSG00000147257,GPC3
chrX,51032046,51032545,Intergenic,Intergenic,121560,NM_005448,9210,ENSG00000130385,BMP15
chrX,93439776,93440275,Intergenic,L1MA4A|LINE|L1,233553,NM_004538,4675,ENSG00000186310,NAP1L3
chrX,20884292,20884791,Intergenic,L1M3e|LINE|L1,-489877,NM_014927,22866,ENSG00000149970,CNKSR2
chrX,33356982,33357481,Intergenic,L1PA12|LINE|L1,-17843,NM_000109,1756,ENSG00000198947,DMD
chrX,144951481,144951980,Intergenic,MSTB-int|LTR|ERVL-MaLR,-295773,NM_001009614,494118,ENSG00000203923,SPANXN1
chrX,127764449,127764948,Intergenic,Intergenic,287705,NM_138289,139741,ENSG00000123165,ACTRT1
chrX,63423798,63424297,Intergenic,Intergenic,-72715,NM_001012968,139886,ENSG00000186767,SPIN4
chrX,23435310,23435809,Intergenic,L1MA3|LINE|L1,100710,NM_173495,139411,ENSG00000165186,PTCHD1
chrX,70159540,70160039,"intron (NM_001370194, intron 3 of 3)",L1M2a|LINE|L1,-17694,NM_198512,347516,ENSG00000184210,DGAT2L6
chrX,54541537,54542036,"intron (NM_019067, intron 5 of 15)","intron (NM_019067, intron 5 of 15)",11567,NM_019067,54552,ENSG00000130119,GNL3L
chrX,120223468,120223967,Intergenic,MER52C|LTR|ERV1,21550,NR_027131,158801,ENSG00000233382,NKAPP1
chrX,83127834,83128333,Intergenic,L1PA15|LINE|L1,-380207,NM_000307,5456,ENSG00000196767,POU3F4
chrX,20981554,20982053,Intergenic,L1PA15|LINE|L1,-392615,NM_014927,22866,ENSG00000149970,CNKSR2
chrX,151901962,151902461,Intergenic,Intergenic,8872,NR_136578,105373368,,MAGEA4-AS1
chrX,148116520,148117019,Intergenic,L1M2|LINE|L1,135432,NM_152578,158521,ENSG00000176988,FMR1NB
chrX,125646379,125646878,Intergenic,MSTA-int|LTR|ERVL-MaLR,326757,NM_001195272,100129520,ENSG00000282815,TEX13C
chrX,9928474,9928973,"intron (NM_001320663, intron 1 of 5)",(AC)n|Simple_repeat|Simple_repeat,16231,NM_001320663,357,ENSG00000146950,SHROOM2
chrX,67001261,67001760,Intergenic,L1M3e|LINE|L1,-362212,NM_001199687,60401,ENSG00000131080,EDA2R
chrX,108851366,108851865,Intergenic,L1PA10|LINE|L1,115075,NR_110652,101928358,ENSG00000237863,LOC101928358
chrX,51161438,51161937,"intron (NR_110382, intron 1 of 8)","intron (NR_110382, intron 1 of 8)",9734,NR_110382,101926971,ENSG00000230317,LINC01284
chrX,9688744,9689243,"intron (NM_001139466, intron 7 of 17)",(GTGTAT)n|Simple_repeat|Simple_repeat,76854,NM_000273,4935,ENSG00000101850,GPR143
chrX,146090222,146090721,Intergenic,MSTA-int|LTR|ERVL-MaLR,-62599,NR_030581,100126341,ENSG00000216056,MIR891A
chrX,115892849,115893348,"intron (NR_147172, intron 2 of 2)","intron (NR_147172, intron 2 of 2)",52134,NR_147173,106029310,,DANT1
chrX,148387655,148388154,Intergenic,L1MA4A|LINE|L1,-112713,NM_001169123,2334,ENSG00000155966,AFF2
chrX,80948667,80949166,Intergenic,L1PA15|LINE|L1,-139039,NM_153252,254065,ENSG00000165288,BRWD3
chrX,121086772,121087271,Intergenic,Intergenic,39411,NM_012084,2747,ENSG00000182890,GLUD2
chrX,122113397,122113896,Intergenic,L1PBa|LINE|L1,742674,NR_037444,100500869,ENSG00000265456,MIR3672
chrX,140823404,140823903,Intergenic,L1P4e|LINE|L1,-39095,NM_004065,1038,ENSG00000184258,CDR1
