HGNC symbol,HGNC name
GRIA2,glutamate ionotropic receptor AMPA type subunit 2
GRIA3,glutamate ionotropic receptor AMPA type subunit 3
GRIA4,glutamate ionotropic receptor AMPA type subunit 4
GRID1,glutamate ionotropic receptor delta type subunit 1
GRID2,glutamate ionotropic receptor delta type subunit 2
GRIK1,glutamate ionotropic receptor kainate type subunit 1
GRIK2,glutamate ionotropic receptor kainate type subunit 2
GRIK3,glutamate ionotropic receptor kainate type subunit 3
GRIK4,glutamate ionotropic receptor kainate type subunit 4
GRIK5,glutamate ionotropic receptor kainate type subunit 5
GRIN1,glutamate ionotropic receptor NMDA type subunit 1
GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A
GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B
GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C
GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D
GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A
GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B
ITPR1,"inositol 1,4,5-trisphosphate receptor type 1"
ITPR2,"inositol 1,4,5-trisphosphate receptor type 2"
ITPR3,"inositol 1,4,5-trisphosphate receptor type 3"
CHRNA1,cholinergic receptor nicotinic alpha 1 subunit
CHRNA2,cholinergic receptor nicotinic alpha 2 subunit
CHRNA3,cholinergic receptor nicotinic alpha 3 subunit
CHRNA4,cholinergic receptor nicotinic alpha 4 subunit
CHRNA5,cholinergic receptor nicotinic alpha 5 subunit
CHRNA6,cholinergic receptor nicotinic alpha 6 subunit
CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
,
CHRNA9,cholinergic receptor nicotinic alpha 9 subunit
CHRNA10,cholinergic receptor nicotinic alpha 10 subunit
CHRNB1,cholinergic receptor nicotinic beta 1 subunit
CHRNB2,cholinergic receptor nicotinic beta 2 subunit
CHRNB3,cholinergic receptor nicotinic beta 3 subunit
CHRNB4,cholinergic receptor nicotinic beta 4 subunit
CHRNG,cholinergic receptor nicotinic gamma subunit
CHRND,cholinergic receptor nicotinic delta subunit
CHRNE,cholinergic receptor nicotinic epsilon subunit
P2RX1,purinergic receptor P2X 1
P2RX2,purinergic receptor P2X 2
P2RX3,purinergic receptor P2X 3
P2RX4,purinergic receptor P2X 4
P2RX5,purinergic receptor P2X 5
P2RX6,purinergic receptor P2X 6
P2RX7,purinergic receptor P2X 7
ZACN,zinc activated ion channel
MIP,major intrinsic protein of lens fiber
AQP1,aquaporin 1 (Colton blood group)
AQP2,aquaporin 2
AQP3,aquaporin 3 (Gill blood group)
AQP4,aquaporin 4
AQP5,aquaporin 5
AQP6,aquaporin 6
AQP7,aquaporin 7
AQP8,aquaporin 8
AQP9,aquaporin 9
AQP10,aquaporin 10
AQP11,aquaporin 11
ANO1,anoctamin 1
CFTR,CF transmembrane conductance regulator
CLCN1,chloride voltage-gated channel 1
CLCN2,chloride voltage-gated channel 2
CLCNKA,chloride voltage-gated channel Ka
CLCNKB,chloride voltage-gated channel Kb
CLCN3,chloride voltage-gated channel 3
CLCN4,chloride voltage-gated channel 4
CLCN5,chloride voltage-gated channel 5
CLCN6,chloride voltage-gated channel 6
CLCN7,chloride voltage-gated channel 7
GJE1,gap junction protein epsilon 1
GJB7,gap junction protein beta 7
GJB2,gap junction protein beta 2
GJB6,gap junction protein beta 6
GJC3,gap junction protein gamma 3
GJB4,gap junction protein beta 4
GJB3,gap junction protein beta 3
GJB5,gap junction protein beta 5
GJD3,gap junction protein delta 3
GJB1,gap junction protein beta 1
GJD2,gap junction protein delta 2
GJA4,gap junction protein alpha 4
GJA5,gap junction protein alpha 5
GJD4,gap junction protein delta 4
GJA1,gap junction protein alpha 1
GJC1,gap junction protein gamma 1
GJA3,gap junction protein alpha 3
GJC2,gap junction protein gamma 2
GJA8,gap junction protein alpha 8
GJA9,gap junction protein alpha 9
GJA10,gap junction protein alpha 10
PANX1,pannexin 1
PANX2,pannexin 2
PANX3,pannexin 3
,
ORAI1,ORAI calcium release-activated calcium modulator 1
ORAI2,ORAI calcium release-activated calcium modulator 2
ORAI3,ORAI calcium release-activated calcium modulator 3
PIEZO1,piezo type mechanosensitive ion channel component 1 (Er blood group)
PIEZO2,piezo type mechanosensitive ion channel component 2
NALCN,"sodium leak channel, non-selective"
,
FCER1A,Fc epsilon receptor Ia
MS4A2,membrane spanning 4-domains A2
FCER1G,Fc epsilon receptor Ig
FCER2,Fc epsilon receptor II
GFRA1,GDNF family receptor alpha 1
GFRA2,GDNF family receptor alpha 2
GFRA3,GDNF family receptor alpha 3
GFRA4,GDNF family receptor alpha 4
GFRAL,GDNF family receptor alpha like
,
,
,
,
IL22RA2,interleukin 22 receptor subunit alpha 2
,
IL10RA,interleukin 10 receptor subunit alpha
IL10RB,interleukin 10 receptor subunit beta
IL20RA,interleukin 20 receptor subunit alpha
IL20RB,interleukin 20 receptor subunit beta
IL22RA1,interleukin 22 receptor subunit alpha 1
IFNLR1,interferon lambda receptor 1
,
,
IL12RB1,interleukin 12 receptor subunit beta 1
IL12RB2,interleukin 12 receptor subunit beta 2
IL23R,interleukin 23 receptor
,
,
,
IL17RA,interleukin 17 receptor A
IL17RB,interleukin 17 receptor B
IL17RC,interleukin 17 receptor C
IL17RD,interleukin 17 receptor D
IL17RE,interleukin 17 receptor E
,
,
,
,
,
IL13RA2,interleukin 13 receptor subunit alpha 2
,
,
,
IL2RA,interleukin 2 receptor subunit alpha
IL2RB,interleukin 2 receptor subunit beta
IL2RG,interleukin 2 receptor subunit gamma
IL4R,interleukin 4 receptor
IL7R,interleukin 7 receptor
IL9R,interleukin 9 receptor
IL13RA1,interleukin 13 receptor subunit alpha 1
IL15RA,interleukin 15 receptor subunit alpha
IL21R,interleukin 21 receptor
CRLF2,cytokine receptor like factor 2
,
,
,
IL3RA,interleukin 3 receptor subunit alpha
IL5RA,interleukin 5 receptor subunit alpha
CSF2RA,colony stimulating factor 2 receptor subunit alpha
CSF2RB,colony stimulating factor 2 receptor subunit beta
,
,
,
,
,
,
,
IL6R,interleukin 6 receptor
IL6ST,interleukin 6 cytokine family signal transducer
IL11RA,interleukin 11 receptor subunit alpha
IL27RA,interleukin 27 receptor subunit alpha
IL31RA,interleukin 31 receptor A
CNTFR,ciliary neurotrophic factor receptor
LEPR,leptin receptor
LIFR,LIF receptor subunit alpha
OSMR,oncostatin M receptor
CD40,CD40 molecule
TNFRSF14,TNF receptor superfamily member 14
,
,
,
,
,
IL1R1,interleukin 1 receptor type 1
IL1R2,interleukin 1 receptor type 2
IL1RL1,interleukin 1 receptor like 1
IL1RL2,interleukin 1 receptor like 2
IL18R1,interleukin 18 receptor 1
SIGIRR,single Ig and TIR domain containing
ITGA1,integrin subunit alpha 1
ITGA2,integrin subunit alpha 2
ITGA2B,integrin subunit alpha 2b
ITGA3,integrin subunit alpha 3
ITGA4,integrin subunit alpha 4
ITGA5,integrin subunit alpha 5
ITGA6,integrin subunit alpha 6
ITGA7,integrin subunit alpha 7
ITGA8,integrin subunit alpha 8
ITGA9,integrin subunit alpha 9
ITGA10,integrin subunit alpha 10
ITGA11,integrin subunit alpha 11
ITGAD,integrin subunit alpha D
ITGAE,integrin subunit alpha E
ITGAL,integrin subunit alpha L
ITGAM,integrin subunit alpha M
ITGAV,integrin subunit alpha V
ITGAX,integrin subunit alpha X
ITGB1,integrin subunit beta 1
ITGB2,integrin subunit beta 2
ITGB3,integrin subunit beta 3
ITGB4,integrin subunit beta 4
ITGB5,integrin subunit beta 5
ITGB6,integrin subunit beta 6
ITGB7,integrin subunit beta 7
ITGB8,integrin subunit beta 8
,
,
,
,
,
,
,
,
,
,
,
,
,
,
IFNAR1,interferon alpha and beta receptor subunit 1
IFNAR2,interferon alpha and beta receptor subunit 2
IFNGR1,interferon gamma receptor 1
IFNGR2,interferon gamma receptor 2
,
,
GUCY1A1,guanylate cyclase 1 soluble subunit alpha 1
GUCY1A2,guanylate cyclase 1 soluble subunit alpha 2
GUCY1B1,guanylate cyclase 1 soluble subunit beta 1
GUCY1B2,guanylate cyclase 1 soluble subunit beta 2 (pseudogene)
NOD1,nucleotide binding oligomerization domain containing 1
NOD2,nucleotide binding oligomerization domain containing 2
NLRC3,NLR family CARD domain containing 3
NLRC4,NLR family CARD domain containing 4
NLRC5,NLR family CARD domain containing 5
NLRX1,NLR family member X1
CIITA,class II major histocompatibility complex transactivator
NLRP1,NLR family pyrin domain containing 1
NLRP2,NLR family pyrin domain containing 2
NLRP3,NLR family pyrin domain containing 3
NLRP4,NLR family pyrin domain containing 4
NLRP5,NLR family pyrin domain containing 5
NLRP6,NLR family pyrin domain containing 6
NLRP7,NLR family pyrin domain containing 7
NLRP8,NLR family pyrin domain containing 8
NLRP9,NLR family pyrin domain containing 9
NLRP10,NLR family pyrin domain containing 10
NLRP11,NLR family pyrin domain containing 11
NLRP12,NLR family pyrin domain containing 12
NLRP13,NLR family pyrin domain containing 13
NLRP14,NLR family pyrin domain containing 14
EPOR,erythropoietin receptor
CSF3R,colony stimulating factor 3 receptor
GHR,growth hormone receptor
PRLR,prolactin receptor
MPL,"MPL proto-oncogene, thrombopoietin receptor"
PTPRA,protein tyrosine phosphatase receptor type A
PTPRB,protein tyrosine phosphatase receptor type B
PTPRC,protein tyrosine phosphatase receptor type C
PTPRD,protein tyrosine phosphatase receptor type D
PTPRE,protein tyrosine phosphatase receptor type E
PTPRF,protein tyrosine phosphatase receptor type F
PTPRG,protein tyrosine phosphatase receptor type G
PTPRH,protein tyrosine phosphatase receptor type H
PTPRJ,protein tyrosine phosphatase receptor type J
PTPRK,protein tyrosine phosphatase receptor type K
PTPRM,protein tyrosine phosphatase receptor type M
PTPRN,protein tyrosine phosphatase receptor type N
PTPRN2,protein tyrosine phosphatase receptor type N2
PTPRO,protein tyrosine phosphatase receptor type O
PTPRQ,protein tyrosine phosphatase receptor type Q
PTPRR,protein tyrosine phosphatase receptor type R
PTPRS,protein tyrosine phosphatase receptor type S
PTPRT,protein tyrosine phosphatase receptor type T
PTPRU,protein tyrosine phosphatase receptor type U
PTPRZ1,protein tyrosine phosphatase receptor type Z1
RIGI,RNA sensor RIG-I
IFIH1,interferon induced with helicase C domain 1
DHX58,DExH-box helicase 58
,
,
,
,
,
TLR1,toll like receptor 1
TLR2,toll like receptor 2
TLR3,toll like receptor 3
TLR4,toll like receptor 4
TLR5,toll like receptor 5
TLR6,toll like receptor 6
TLR7,toll like receptor 7
TLR8,toll like receptor 8
TLR9,toll like receptor 9
TLR10,toll like receptor 10
,
NPR1,natriuretic peptide receptor 1
NPR2,natriuretic peptide receptor 2
GUCY2C,guanylate cyclase 2C
NPR3,natriuretic peptide receptor 3
,
GUCY2D,"guanylate cyclase 2D, retinal"
GUCY2F,"guanylate cyclase 2F, retinal"
GUCY2GP,"guanylate cyclase 2G, pseudogene"
TNFRSF1A,TNF receptor superfamily member 1A
TNFRSF1B,TNF receptor superfamily member 1B
LTBR,lymphotoxin beta receptor
TNFRSF4,TNF receptor superfamily member 4
CD40,CD40 molecule
FAS,Fas cell surface death receptor
TNFRSF6B,TNF receptor superfamily member 6b
CD27,CD27 molecule
TNFRSF8,TNF receptor superfamily member 8
TNFRSF9,TNF receptor superfamily member 9
TNFRSF10A,TNF receptor superfamily member 10a
TNFRSF10B,TNF receptor superfamily member 10b
TNFRSF10C,TNF receptor superfamily member 10c
TNFRSF10D,TNF receptor superfamily member 10d
TNFRSF11A,TNF receptor superfamily member 11a
TNFRSF11B,TNF receptor superfamily member 11b
TNFRSF25,TNF receptor superfamily member 25
TNFRSF12A,TNF receptor superfamily member 12A
TNFRSF13B,TNF receptor superfamily member 13B
TNFRSF13C,TNF receptor superfamily member 13C
TNFRSF14,TNF receptor superfamily member 14
NGFR,nerve growth factor receptor
TNFRSF17,TNF receptor superfamily member 17
TNFRSF18,TNF receptor superfamily member 18
TNFRSF19,TNF receptor superfamily member 19
RELT,RELT TNF receptor
TNFRSF21,TNF receptor superfamily member 21
,
,
EDA2R,ectodysplasin A2 receptor
EDAR,ectodysplasin A receptor
TGFBR3,transforming growth factor beta receptor 3
PDGFRA,platelet derived growth factor receptor alpha
PDGFRB,platelet derived growth factor receptor beta
KIT,"KIT proto-oncogene, receptor tyrosine kinase"
CSF1R,colony stimulating factor 1 receptor
FLT3,fms related receptor tyrosine kinase 3
ACVR2A,activin A receptor type 2A
ACVR2B,activin A receptor type 2B
AMHR2,anti-Mullerian hormone receptor type 2
BMPR2,bone morphogenetic protein receptor type 2
TGFBR2,transforming growth factor beta receptor 2
INSR,insulin receptor
IGF1R,insulin like growth factor 1 receptor
INSRR,insulin receptor related receptor
ACVRL1,activin A receptor like type 1
ACVR1,activin A receptor type 1
BMPR1A,bone morphogenetic protein receptor type 1A
ACVR1B,activin A receptor type 1B
TGFBR1,transforming growth factor beta receptor 1
BMPR1B,bone morphogenetic protein receptor type 1B
ACVR1C,activin A receptor type 1C
EGFR,epidermal growth factor receptor
ERBB2,erb-b2 receptor tyrosine kinase 2
ERBB3,erb-b2 receptor tyrosine kinase 3
ERBB4,erb-b2 receptor tyrosine kinase 4
FLT1,fms related receptor tyrosine kinase 1
KDR,kinase insert domain receptor
FLT4,fms related receptor tyrosine kinase 4
MUSK,muscle associated receptor tyrosine kinase
ROR1,receptor tyrosine kinase like orphan receptor 1
ROR2,receptor tyrosine kinase like orphan receptor 2
NTRK1,neurotrophic receptor tyrosine kinase 1
NTRK2,neurotrophic receptor tyrosine kinase 2
NTRK3,neurotrophic receptor tyrosine kinase 3
PTK7,protein tyrosine kinase 7 (inactive)
FGFR1,fibroblast growth factor receptor 1
FGFR2,fibroblast growth factor receptor 2
FGFR3,fibroblast growth factor receptor 3
FGFR4,fibroblast growth factor receptor 4
EPHA1,EPH receptor A1
EPHA2,EPH receptor A2
EPHA3,EPH receptor A3
EPHA4,EPH receptor A4
EPHA5,EPH receptor A5
EPHA6,EPH receptor A6
EPHA7,EPH receptor A7
EPHA8,EPH receptor A8
EPHA10,EPH receptor A10
EPHB1,EPH receptor B1
EPHB2,EPH receptor B2
EPHB3,EPH receptor B3
EPHB4,EPH receptor B4
EPHB6,EPH receptor B6
TIE1,tyrosine kinase with immunoglobulin like and EGF like domains 1
TEK,TEK receptor tyrosine kinase
AXL,AXL receptor tyrosine kinase
TYRO3,TYRO3 protein tyrosine kinase
MERTK,"MER proto-oncogene, tyrosine kinase"
RET,ret proto-oncogene
LTK,leukocyte receptor tyrosine kinase
ALK,ALK receptor tyrosine kinase
MET,"MET proto-oncogene, receptor tyrosine kinase"
MST1R,macrophage stimulating 1 receptor
AATK,apoptosis associated tyrosine kinase
LMTK2,lemur tyrosine kinase 2
LMTK3,lemur tyrosine kinase 3
ROS1,"ROS proto-oncogene 1, receptor tyrosine kinase"
DDR1,discoidin domain receptor tyrosine kinase 1
DDR2,discoidin domain receptor tyrosine kinase 2
RYK,receptor like tyrosine kinase
STYK1,serine/threonine/tyrosine kinase 1
IDH1,isocitrate dehydrogenase (NADP(+)) 1
IDH2,isocitrate dehydrogenase (NADP(+)) 2
IDO1,"indoleamine 2,3-dioxygenase 1"
IDO2,"indoleamine 2,3-dioxygenase 2"
TDO2,"tryptophan 2,3-dioxygenase"
KDM1A,lysine demethylase 1A
KDM1B,lysine demethylase 1B
KDM2A,lysine demethylase 2A
KDM2B,lysine demethylase 2B
KDM3A,lysine demethylase 3A
KDM3B,lysine demethylase 3B
KDM4A,lysine demethylase 4A
KDM4B,lysine demethylase 4B
KDM4C,lysine demethylase 4C
KDM4D,lysine demethylase 4D
KDM4E,lysine demethylase 4E
KDM5A,lysine demethylase 5A
KDM5B,lysine demethylase 5B
KDM5C,lysine demethylase 5C
KDM5D,lysine demethylase 5D
KDM6A,lysine demethylase 6A
KDM6B,lysine demethylase 6B
KDM7A,lysine demethylase 7A
KDM8,lysine demethylase 8
PHF2,PHD finger protein 2
PHF8,PHD finger protein 8
JMJD6,"jumonji domain containing 6, arginine demethylase and lysine hydroxylase"
KMO,kynurenine 3-monooxygenase
RRM1,ribonucleotide reductase catalytic subunit M1
RRM2,ribonucleotide reductase regulatory subunit M2
RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B
AOX1,aldehyde oxidase 1
LOX,lysyl oxidase
LOXL2,lysyl oxidase like 2
ALDH2,aldehyde dehydrogenase 2 family member
AKR1B1,aldo-keto reductase family 1 member B
AOC3,amine oxidase copper containing 3
CAT,catalase
DHFR,dihydrofolate reductase
DHODH,dihydroorotate dehydrogenase (quinone)
GSR,glutathione-disulfide reductase
HSD3B2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"
HPD,4-hydroxyphenylpyruvate dioxygenase
HSD11B1,hydroxysteroid 11-beta dehydrogenase 1
HSD11B2,hydroxysteroid 11-beta dehydrogenase 2
HSD17B2,hydroxysteroid 17-beta dehydrogenase 2
HSD17B13,hydroxysteroid 17-beta dehydrogenase 13
IMPDH1,inosine monophosphate dehydrogenase 1
IMPDH2,inosine monophosphate dehydrogenase 2
MPO,myeloperoxidase
SPR,sepiapterin reductase
SRD5A2,steroid 5 alpha-reductase 2
TYR,tyrosinase
VKORC1,vitamin K epoxide reductase complex subunit 1
XDH,xanthine dehydrogenase
PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing"
PI4KA,phosphatidylinositol 4-kinase alpha
PI4KB,phosphatidylinositol 4-kinase beta
ASH1L,ASH1 like histone lysine methyltransferase
DOT1L,DOT1 like histone lysine methyltransferase
EHMT1,euchromatic histone lysine methyltransferase 1
EHMT2,euchromatic histone lysine methyltransferase 2
EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit
EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit
KMT2B,lysine methyltransferase 2B
KMT2A,lysine methyltransferase 2A
KMT2C,lysine methyltransferase 2C
KMT2D,lysine methyltransferase 2D
KMT2E,lysine methyltransferase 2E (inactive)
KMT5A,lysine methyltransferase 5A
KMT5B,lysine methyltransferase 5B
KMT5C,lysine methyltransferase 5C
NSD1,nuclear receptor binding SET domain protein 1
NSD2,nuclear receptor binding SET domain protein 2
PRDM2,PR/SET domain 2
SETD1A,"SET domain containing 1A, histone lysine methyltransferase"
SETD1B,"SET domain containing 1B, histone lysine methyltransferase"
SETD2,"SET domain containing 2, histone lysine methyltransferase"
SETD7,"SET domain containing 7, histone lysine methyltransferase"
SETDB1,SET domain bifurcated histone lysine methyltransferase 1
SETDB2,SET domain bifurcated histone lysine methyltransferase 2
SMYD2,SET and MYND domain containing 2
SUV39H1,SUV39H1 histone lysine methyltransferase
SUV39H2,SUV39H2 histone lysine methyltransferase
TYMS,thymidylate synthetase
DNMT1,DNA methyltransferase 1
DNMT3A,DNA methyltransferase 3 alpha
METTL3,"methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit"
NNMT,nicotinamide N-methyltransferase
PRMT1,protein arginine methyltransferase 1
PRMT2,protein arginine methyltransferase 2
PRMT3,protein arginine methyltransferase 3
CARM1,coactivator associated arginine methyltransferase 1
PRMT5,protein arginine methyltransferase 5
PRMT6,protein arginine methyltransferase 6
PRMT7,protein arginine methyltransferase 7
PRMT8,protein arginine methyltransferase 8
FBXO11,F-box protein 11
PRMT9,protein arginine methyltransferase 9
FBXO10,F-box protein 10
GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
CLOCK,clock circadian regulator
ELP3,elongator acetyltransferase complex subunit 3
GTF3C4,general transcription factor IIIC subunit 4
HAT1,histone acetyltransferase 1
JMJD1C,jumonji domain containing 1C
KAT5,lysine acetyltransferase 5
KAT6A,lysine acetyltransferase 6A
KAT2A,lysine acetyltransferase 2A
KAT2B,lysine acetyltransferase 2B
KAT6B,lysine acetyltransferase 6B
KAT7,lysine acetyltransferase 7
KAT8,lysine acetyltransferase 8
NCOA1,nuclear receptor coactivator 1
NCOA2,nuclear receptor coactivator 2
NCOA3,nuclear receptor coactivator 3
FASN,fatty acid synthase
DGAT1,diacylglycerol O-acyltransferase 1
DGAT2,diacylglycerol O-acyltransferase 2
MOGAT2,monoacylglycerol O-acyltransferase 2
NAT8L,N-acetyltransferase 8 like
ZDHHC3,zinc finger DHHC-type palmitoyltransferase 3
ZDHHC6,zinc finger DHHC-type palmitoyltransferase 6
TGM2,transglutaminase 2
TRIM21,tripartite motif containing 21
TRIM38,tripartite motif containing 38
PNP,purine nucleoside phosphorylase
GSTO1,glutathione S-transferase omega 1
FNTA,"farnesyltransferase, CAAX box, subunit alpha"
FNTB,"farnesyltransferase, CAAX box, subunit beta"
BCAT1,branched chain amino acid transaminase 1
BCAT2,branched chain amino acid transaminase 2
DAGLA,diacylglycerol lipase alpha
DAGLB,diacylglycerol lipase beta
MGLL,monoglyceride lipase
ABHD2,"abhydrolase domain containing 2, acylglycerol lipase"
ABHD6,"abhydrolase domain containing 6, acylglycerol lipase"
ABHD12,"abhydrolase domain containing 12, lysophospholipase"
AOAH,acyloxyacyl hydrolase
ASPG,asparaginase
CEL,carboxyl ester lipase
LIPF,"lipase F, gastric type"
PPME1,protein phosphatase methylesterase 1
RBBP9,"RB binding protein 9, serine hydrolase"
GALNS,galactosamine (N-acetyl)-6-sulfatase
PPT1,palmitoyl-protein thioesterase 1
AMY2A,amylase alpha 2A
GAA,alpha glucosidase
GBA1,glucosylceramidase beta 1
MGAM,maltase-glucoamylase
HPSE,heparanase
KL,klotho
CFD,complement factor D
GLS,glutaminase
HDAC1,histone deacetylase 1
HDAC2,histone deacetylase 2
HDAC3,histone deacetylase 3
HDAC4,histone deacetylase 4
HDAC5,histone deacetylase 5
HDAC6,histone deacetylase 6
HDAC7,histone deacetylase 7
HDAC8,histone deacetylase 8
HDAC9,histone deacetylase 9
HDAC10,histone deacetylase 10
HDAC11,histone deacetylase 11
SIRT1,sirtuin 1
SIRT2,sirtuin 2
SIRT3,sirtuin 3
SIRT4,sirtuin 4
SIRT5,sirtuin 5
SIRT6,sirtuin 6
SIRT7,sirtuin 7
PADI1,peptidyl arginine deiminase 1
PADI3,peptidyl arginine deiminase 3
PADI4,peptidyl arginine deiminase 4
ATAD2,ATPase family AAA domain containing 2
ATAD2B,ATPase family AAA domain containing 2B
BLM,BLM RecQ like helicase
WRN,WRN RecQ like helicase
KDSR,3-ketodihydrosphingosine reductase
HSD3B2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"
PDIA3,protein disulfide isomerase family A member 3
GART,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
BACE1,beta-secretase 1
BACE2,beta-secretase 2
CTSD,cathepsin D
CTSE,cathepsin E
PGA5,pepsinogen A5
PGC,progastricsin
REN,renin
PSEN1,presenilin 1
PSEN2,presenilin 2
CLPP,caseinolytic mitochondrial matrix peptidase proteolytic subunit
KATNA1,katanin catalytic subunit A1
LONP1,"lon peptidase 1, mitochondrial"
ADCK2,aarF domain containing kinase 2
ADCK1,aarF domain containing kinase 1
COQ8A,coenzyme Q8A
COQ8B,coenzyme Q8B
ADCK5,aarF domain containing kinase 5
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
CHAT,choline O-acetyltransferase
ACHE,acetylcholinesterase (Yt blood group)
BCHE,butyrylcholinesterase
ASAH1,N-acylsphingosine amidohydrolase 1
TNK1,tyrosine kinase non receptor 1
TNK2,tyrosine kinase non receptor 2
ACSS2,acyl-CoA synthetase short chain family member 2
ADA,adenosine deaminase
ADK,adenosine kinase
NT5E,5'-nucleotidase ecto
AHCY,adenosylhomocysteinase
NT5C1A,"5'-nucleotidase, cytosolic IA"
NT5C1B,"5'-nucleotidase, cytosolic IB"
NT5C2,"5'-nucleotidase, cytosolic II"
NT5C3A,"5'-nucleotidase, cytosolic IIIA"
NT5C,"5', 3'-nucleotidase, cytosolic"
NT5M,"5',3'-nucleotidase, mitochondrial"
ADCY1,adenylate cyclase 1
ADCY2,adenylate cyclase 2
ADCY3,adenylate cyclase 3
ADCY4,adenylate cyclase 4
ADCY5,adenylate cyclase 5
ADCY6,adenylate cyclase 6
ADCY7,adenylate cyclase 7
ADCY8,adenylate cyclase 8
ADCY9,adenylate cyclase 9
ADCY10,adenylate cyclase 10
AKT1,AKT serine/threonine kinase 1
AKT2,AKT serine/threonine kinase 2
AKT3,AKT serine/threonine kinase 3
ACER1,alkaline ceramidase 1
ACER2,alkaline ceramidase 2
ACER3,alkaline ceramidase 3
PRKCB,protein kinase C beta
PRKCG,protein kinase C gamma
PAH,phenylalanine hydroxylase
TH,tyrosine hydroxylase
TPH1,tryptophan hydroxylase 1
TPH2,tryptophan hydroxylase 2
,
PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1
PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2
PRKAB1,protein kinase AMP-activated non-catalytic subunit beta 1
PRKAB2,protein kinase AMP-activated non-catalytic subunit beta 2
PRKAG1,protein kinase AMP-activated non-catalytic subunit gamma 1
PRKAG2,protein kinase AMP-activated non-catalytic subunit gamma 2
PRKAG3,protein kinase AMP-activated non-catalytic subunit gamma 3
ARG1,arginase 1
ARG2,arginase 2
GATM,glycine amidinotransferase
ATR,ATR serine/threonine kinase
AURKA,aurora kinase A
AURKB,aurora kinase B
AURKC,aurora kinase C
BCR,BCR activator of RhoGEF and GTPase
GRK2,G protein-coupled receptor kinase 2
GRK3,G protein-coupled receptor kinase 3
F2,"coagulation factor II, thrombin"
F3,"coagulation factor III, tissue factor"
F5,coagulation factor V
F8,coagulation factor VIII
F10,coagulation factor X
F11,coagulation factor XI
SERPINC1,serpin family C member 1
BRD1,bromodomain containing 1
BRD2,bromodomain containing 2
BRD3,bromodomain containing 3
BRD4,bromodomain containing 4
BRD7,bromodomain containing 7
BRD8,bromodomain containing 8
BRD9,bromodomain containing 9
BRSK1,BR serine/threonine kinase 1
BRSK2,BR serine/threonine kinase 2
BUB1,BUB1 mitotic checkpoint serine/threonine kinase
BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B
TP53RK,TP53 regulating kinase
OTULIN,OTU deubiquitinase with linear linkage specificity
BAP1,BRCA1 associated deubiquitinase 1
UCHL1,ubiquitin C-terminal hydrolase L1
UCHL3,ubiquitin C-terminal hydrolase L3
LGMN,legumain
CASP1,caspase 1
CASP2,caspase 2
CASP3,caspase 3
CASP4,caspase 4
CASP5,caspase 5
CASP6,caspase 6
CASP7,caspase 7
CASP8,caspase 8
CASP9,caspase 9
CASP10,caspase 10
CASP14,caspase 14
USP1,ubiquitin specific peptidase 1
USP2,ubiquitin specific peptidase 2
USP5,ubiquitin specific peptidase 5
USP8,ubiquitin specific peptidase 8
USP14,ubiquitin specific peptidase 14
USP21,ubiquitin specific peptidase 21
CTSB,cathepsin B
CTSC,cathepsin C
CTSF,cathepsin F
CTSH,cathepsin H
CTSK,cathepsin K
CTSL,cathepsin L
CTSV,cathepsin V
CTSS,cathepsin S
CTSZ,cathepsin Z
GGH,gamma-glutamyl hydrolase
CAPN1,calpain 1
CAPN2,calpain 2
PPAT,phosphoribosyl pyrophosphate amidotransferase
SENP1,SUMO specific peptidase 1
SENP6,SUMO specific peptidase 6
SENP7,SUMO specific peptidase 7
SENP8,"SUMO peptidase family member, NEDD8 specific"
ATG4B,autophagy related 4B cysteine peptidase
OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1"
CAMK1,calcium/calmodulin dependent protein kinase I
CAMK1D,calcium/calmodulin dependent protein kinase ID
CAMK1G,calcium/calmodulin dependent protein kinase IG
CAMK4,calcium/calmodulin dependent protein kinase IV
PNCK,pregnancy up-regulated nonubiquitous CaM kinase
,
